Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,12.0,2.0
Chain A Transmembrane Top,POPE,74.0,12.3
Chain A Transmembrane Top,POPG,19.0,3.2
Chain B Transmembrane Top,CDL2,22.5,3.8
Chain B Transmembrane Top,POPE,70.0,11.7
Chain B Transmembrane Top,POPG,15.0,2.5
Chain A CLD,CDL2,17.5,2.9
Chain A CLD,POPE,93.0,15.5
Chain A CLD,POPG,22.0,3.7
Chain B CLD,CDL2,1.5,0.2
Chain B CLD,POPE,34.0,5.7
Chain B CLD,POPG,10.0,1.7
Chain A Transmembrane Arm,CDL2,16.5,3.3
Chain A Transmembrane Arm,POPE,64.0,12.8
Chain A Transmembrane Arm,POPG,26.0,5.2
Chain B Transmembrane Arm,CDL2,8.0,1.6
Chain B Transmembrane Arm,POPE,72.0,14.4
Chain B Transmembrane Arm,POPG,26.0,5.2
Chain A Substrate Entrance Channel,CDL2,19.0,3.8
Chain A Substrate Entrance Channel,POPE,18.0,3.6
Chain A Substrate Entrance Channel,POPG,0.0,0.0
Chain B Substrate Entrance Channel,CDL2,0.0,0.0
Chain B Substrate Entrance Channel,POPE,39.0,7.8
Chain B Substrate Entrance Channel,POPG,14.0,2.8
