Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,11.0,3.7
Chain A Transmembrane Top,POPE,47.0,15.7
Chain A Transmembrane Top,POPG,12.0,4.0
Chain B Transmembrane Top,CDL2,6.0,2.0
Chain B Transmembrane Top,POPE,48.0,16.0
Chain B Transmembrane Top,POPG,15.0,5.0
Chain A CLD,CDL2,25.0,3.6
Chain A CLD,POPE,92.0,13.1
Chain A CLD,POPG,26.0,3.7
Chain B CLD,CDL2,5.0,0.7
Chain B CLD,POPE,31.0,4.4
Chain B CLD,POPG,11.0,1.6
Chain A Transmembrane Arm,CDL2,13.0,3.2
Chain A Transmembrane Arm,POPE,45.0,11.2
Chain A Transmembrane Arm,POPG,12.0,3.0
Chain B Transmembrane Arm,CDL2,16.0,4.0
Chain B Transmembrane Arm,POPE,33.0,8.2
Chain B Transmembrane Arm,POPG,8.0,2.0
Chain A Substrate Entrance Channel,CDL2,2.0,0.7
Chain A Substrate Entrance Channel,POPE,22.0,7.3
Chain A Substrate Entrance Channel,POPG,12.0,4.0
Chain B Substrate Entrance Channel,CDL2,12.0,4.0
Chain B Substrate Entrance Channel,POPE,16.0,5.3
Chain B Substrate Entrance Channel,POPG,3.0,1.0
