Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,18.0,2.6
Chain A Transmembrane Top,POPE,84.0,12.0
Chain A Transmembrane Top,POPG,20.0,2.9
Chain B Transmembrane Top,CDL2,31.0,4.4
Chain B Transmembrane Top,POPE,66.0,9.4
Chain B Transmembrane Top,POPG,19.0,2.7
Chain A CLD,CDL2,24.5,4.1
Chain A CLD,POPE,92.0,15.3
Chain A CLD,POPG,12.0,2.0
Chain B CLD,CDL2,1.0,0.2
Chain B CLD,POPE,41.0,6.8
Chain B CLD,POPG,13.0,2.2
Chain A Transmembrane Arm,CDL2,10.0,3.3
Chain A Transmembrane Arm,POPE,43.0,14.3
Chain A Transmembrane Arm,POPG,16.0,5.3
Chain B Transmembrane Arm,CDL2,8.5,2.8
Chain B Transmembrane Arm,POPE,36.0,12.0
Chain B Transmembrane Arm,POPG,12.0,4.0
Chain A Substrate Entrance Channel,CDL2,6.0,1.0
Chain A Substrate Entrance Channel,POPE,49.0,8.2
Chain A Substrate Entrance Channel,POPG,0.0,0.0
Chain B Substrate Entrance Channel,CDL2,0.0,0.0
Chain B Substrate Entrance Channel,POPE,53.0,8.8
Chain B Substrate Entrance Channel,POPG,10.0,1.7
